"emotion","polarity","score"
"unknown","positive",0
"joy","positive",1
"unknown","neutral",0
"sadness","neutral",0
"joy","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",-1
"unknown","positive",0
"unknown","positive",0
"unknown","negative",-1
"unknown","positive",0
"joy","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",-1
"unknown","positive",0
"anger","negative",-1
"anger","negative",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","neutral",-1
"unknown","neutral",0
"unknown","positive",1
"unknown","negative",0
"unknown","positive",0
"joy","positive",0
"unknown","positive",1
"joy","positive",2
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","negative",-1
"surprise","positive",2
"unknown","positive",0
"unknown","negative",-1
"unknown","positive",-1
"unknown","positive",1
"unknown","positive",0
"joy","positive",1
"unknown","negative",-1
"unknown","negative",-2
"unknown","negative",-3
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"joy","positive",3
"unknown","positive",0
"joy","positive",3
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","neutral",0
"joy","positive",1
"joy","positive",2
"unknown","positive",0
"unknown","positive",0
"surprise","positive",1
"joy","positive",1
"unknown","positive",0
"unknown","neutral",0
"surprise","positive",1
"unknown","negative",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"joy","positive",2
"unknown","positive",0
"unknown","positive",0
