"emotion","polarity","score"
"unknown","positive",1
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"joy","negative",1
"unknown","positive",1
"unknown","positive",1
"unknown","neutral",3
"unknown","positive",3
"sadness","negative",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",3
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",2
"unknown","positive",0
"unknown","positive",1
"surprise","positive",1
"unknown","positive",1
"joy","neutral",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"sadness","negative",-1
"unknown","positive",1
"joy","positive",2
"unknown","positive",0
"unknown","positive",2
"joy","positive",1
"unknown","positive",0
"unknown","negative",0
"unknown","positive",1
"unknown","negative",-1
"joy","positive",1
"unknown","positive",-1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"joy","positive",1
"joy","positive",3
"unknown","negative",0
"anger","positive",0
"unknown","neutral",0
"unknown","positive",0
"joy","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",2
"unknown","positive",-1
"unknown","positive",3
"unknown","positive",3
"joy","negative",-1
"unknown","positive",3
"unknown","positive",0
"unknown","positive",1
"unknown","positive",3
"unknown","positive",3
"unknown","positive",0
"unknown","positive",0
"unknown","negative",-1
"unknown","positive",0
"unknown","positive",2
"unknown","positive",2
"unknown","positive",3
"unknown","positive",1
"unknown","neutral",-1
"joy","neutral",1
"unknown","neutral",2
"surprise","positive",2
"unknown","neutral",2
"unknown","positive",2
"surprise","positive",1
"unknown","positive",2
"unknown","neutral",1
"unknown","neutral",1
"joy","positive",0
"unknown","positive",0
"surprise","positive",0
"surprise","positive",2
"joy","positive",2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"joy","positive",2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"joy","positive",1
"joy","positive",1
"unknown","negative",0
"unknown","negative",0
"unknown","positive",2
"unknown","negative",0
"unknown","positive",0
"unknown","positive",1
"unknown","negative",0
"unknown","positive",2
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",3
"unknown","positive",2
"joy","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"joy","negative",0
"unknown","positive",0
"unknown","positive",2
"unknown","positive",0
"unknown","positive",2
"surprise","negative",-1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",2
"unknown","positive",2
"joy","positive",1
"unknown","positive",1
"unknown","negative",-1
"unknown","negative",1
"fear","negative",-2
"unknown","negative",-1
"unknown","negative",0
"unknown","positive",3
"unknown","positive",3
"unknown","positive",0
"unknown","positive",0
"fear","negative",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"sadness","positive",1
"joy","positive",1
"unknown","positive",0
"surprise","positive",2
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",0
"sadness","neutral",-1
"unknown","positive",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",0
"surprise","positive",0
"joy","positive",1
"unknown","neutral",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",1
"unknown","positive",3
"unknown","positive",0
"surprise","positive",0
"sadness","positive",0
"sadness","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"joy","positive",4
"fear","negative",-1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",-1
"unknown","positive",2
"joy","neutral",1
"unknown","negative",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","negative",0
"unknown","negative",1
"surprise","positive",2
"unknown","positive",0
"unknown","positive",2
"unknown","negative",0
"joy","neutral",2
"surprise","positive",0
"unknown","negative",-1
"joy","neutral",2
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",1
"unknown","negative",1
"joy","positive",1
"sadness","negative",-2
"unknown","positive",0
"unknown","negative",0
"unknown","negative",0
"unknown","positive",0
"joy","positive",2
"unknown","positive",-1
"unknown","positive",0
"unknown","negative",-1
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","negative",1
"unknown","positive",3
"surprise","positive",3
"unknown","positive",0
"sadness","negative",0
"unknown","positive",1
"surprise","positive",1
"unknown","positive",0
"unknown","positive",1
"joy","neutral",2
"unknown","positive",0
"unknown","positive",-1
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"sadness","negative",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"joy","neutral",3
"unknown","positive",1
"unknown","negative",0
"unknown","negative",-1
"unknown","neutral",2
"unknown","positive",1
"unknown","positive",0
"joy","negative",1
"unknown","positive",1
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",1
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",-1
"unknown","positive",0
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",1
"unknown","positive",-1
"sadness","negative",0
"joy","positive",2
"unknown","neutral",0
"sadness","neutral",2
"unknown","positive",2
"unknown","positive",0
"unknown","positive",1
"anger","negative",-1
"joy","positive",2
"joy","positive",0
"unknown","positive",0
"sadness","negative",-2
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",1
"joy","neutral",0
"unknown","negative",0
"sadness","negative",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",2
"surprise","neutral",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"sadness","negative",-1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","negative",-1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"surprise","positive",1
"unknown","negative",0
"unknown","positive",1
"unknown","positive",0
"unknown","neutral",1
"joy","positive",0
"joy","positive",2
"unknown","positive",0
"unknown","negative",1
"unknown","positive",-1
"joy","positive",3
"unknown","positive",-1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"sadness","negative",0
"unknown","positive",0
"unknown","negative",-1
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",1
"unknown","positive",1
"unknown","positive",-1
"unknown","neutral",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","negative",-1
"unknown","positive",2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","neutral",1
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",-1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","neutral",0
"joy","positive",0
"unknown","positive",0
"unknown","positive",3
"fear","negative",-1
"unknown","positive",0
"unknown","positive",-1
"unknown","neutral",-2
"unknown","neutral",1
"unknown","negative",-1
"unknown","positive",0
"unknown","negative",-1
"fear","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",3
"unknown","positive",1
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",-1
"unknown","negative",0
"unknown","positive",0
"anger","positive",0
"unknown","positive",-1
"surprise","positive",0
"unknown","negative",-1
"unknown","positive",-1
"unknown","positive",0
"unknown","positive",-1
"unknown","positive",3
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"joy","neutral",1
"unknown","neutral",0
"unknown","positive",0
"unknown","negative",-1
"unknown","negative",0
"unknown","negative",0
"unknown","positive",1
"unknown","positive",0
"surprise","positive",1
"unknown","positive",3
"unknown","positive",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"joy","negative",1
"unknown","positive",0
"unknown","positive",0
"unknown","negative",0
"surprise","positive",2
"unknown","neutral",1
"joy","negative",-1
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"sadness","negative",1
"unknown","positive",1
"unknown","positive",1
"unknown","neutral",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"fear","positive",0
"unknown","positive",0
"unknown","positive",2
"unknown","positive",0
"joy","negative",-1
"unknown","positive",0
"unknown","neutral",1
"unknown","positive",0
"unknown","positive",1
"joy","neutral",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"anger","positive",2
"unknown","positive",1
"joy","neutral",1
"unknown","neutral",0
"unknown","positive",1
"sadness","negative",-2
"joy","positive",2
"unknown","negative",0
"unknown","negative",1
"unknown","positive",0
