"emotion","polarity","score"
"unknown","negative",0
"unknown","positive",0
"anger","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"joy","neutral",1
"unknown","negative",-1
"unknown","positive",0
"unknown","positive",0
"joy","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","negative",1
"unknown","negative",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"anger","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"anger","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","neutral",1
