"emotion","polarity","score"
"unknown","neutral",-1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",-1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","positive",1
"joy","neutral",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","neutral",2
"unknown","positive",-1
"unknown","negative",0
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"sadness","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",-1
"unknown","neutral",-1
"unknown","neutral",0
"unknown","positive",1
"unknown","positive",1
"unknown","neutral",-1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",-1
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",0
"unknown","negative",-1
"unknown","positive",0
