"emotion","polarity","score"
"joy","positive",2
"unknown","positive",0
"unknown","positive",1
"unknown","negative",0
"unknown","negative",0
"joy","neutral",1
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","positive",1
"unknown","positive",0
"anger","positive",1
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","positive",-1
"unknown","positive",-1
"anger","negative",-2
"unknown","positive",0
"unknown","negative",-1
"sadness","negative",1
"unknown","positive",2
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",0
"unknown","positive",0
"anger","positive",1
"unknown","negative",0
"surprise","neutral",0
"unknown","negative",-1
"unknown","positive",3
"joy","positive",1
"unknown","positive",0
"unknown","neutral",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"surprise","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
