"emotion","polarity","score"
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",-1
"unknown","neutral",1
"surprise","positive",2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"joy","positive",2
"unknown","neutral",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"sadness","negative",0
"unknown","positive",0
"joy","positive",2
"unknown","negative",0
"unknown","positive",0
"surprise","neutral",1
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",0
"sadness","neutral",-1
"unknown","positive",0
"unknown","positive",1
"joy","positive",2
"surprise","negative",1
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",0
"unknown","positive",0
"unknown","positive",-1
"anger","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"surprise","negative",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",-1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"sadness","negative",1
"unknown","positive",1
"joy","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"anger","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",1
"unknown","negative",0
"unknown","negative",0
"unknown","positive",3
"sadness","negative",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","positive",0
"unknown","negative",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"joy","positive",2
"unknown","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","neutral",-1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",-1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","neutral",0
