"emotion","polarity","score"
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"sadness","neutral",1
"anger","negative",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"surprise","positive",1
"unknown","neutral",0
"unknown","neutral",-1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","negative",-1
"unknown","neutral",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",0
"unknown","negative",-1
"unknown","positive",0
"anger","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","negative",-1
"sadness","negative",0
"unknown","positive",0
"unknown","neutral",-1
"unknown","positive",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"joy","negative",-2
"unknown","positive",0
"unknown","positive",1
"unknown","neutral",0
"unknown","positive",1
"unknown","positive",1
"unknown","neutral",1
"unknown","neutral",0
"surprise","positive",2
"unknown","positive",0
"joy","positive",2
"joy","neutral",2
"joy","positive",2
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",-1
"joy","neutral",2
"unknown","positive",1
"joy","neutral",2
"joy","neutral",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
