"emotion","polarity","score"
"unknown","positive",0
"unknown","positive",0
"anger","positive",3
"unknown","positive",0
"surprise","neutral",1
"unknown","positive",1
"unknown","negative",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"joy","neutral",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"joy","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",1
"unknown","positive",1
"unknown","negative",-1
"surprise","neutral",1
"unknown","positive",0
"sadness","neutral",-1
"unknown","negative",0
"unknown","negative",1
"unknown","positive",1
"unknown","negative",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"surprise","neutral",1
"unknown","positive",0
"unknown","positive",1
"joy","positive",1
"unknown","negative",1
"surprise","positive",1
"surprise","neutral",1
"unknown","positive",0
"surprise","positive",0
"unknown","positive",0
"unknown","negative",-1
"joy","positive",2
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"fear","negative",0
"unknown","positive",0
"joy","positive",3
"unknown","negative",-1
"unknown","positive",1
"unknown","positive",0
"joy","positive",1
"unknown","neutral",1
"unknown","neutral",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"anger","positive",-1
"unknown","positive",0
"joy","positive",1
"unknown","negative",0
"joy","positive",0
"sadness","positive",1
"unknown","positive",0
