"emotion","polarity","score"
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","negative",-1
"joy","neutral",0
"anger","positive",0
"joy","positive",3
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"anger","neutral",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"surprise","neutral",1
"unknown","positive",0
"joy","positive",1
"surprise","positive",1
"unknown","negative",-1
"joy","positive",1
"anger","positive",1
"unknown","positive",0
"unknown","negative",-1
"unknown","positive",1
"sadness","negative",0
"unknown","positive",1
"anger","negative",-1
"joy","positive",4
"unknown","negative",0
"joy","positive",1
"unknown","positive",3
"unknown","positive",-1
"unknown","negative",-1
"unknown","positive",-1
"joy","positive",1
"unknown","positive",0
"unknown","negative",-1
"unknown","positive",1
"unknown","positive",0
"joy","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"sadness","neutral",-2
"joy","positive",3
"joy","positive",4
"surprise","positive",1
"surprise","positive",2
"joy","neutral",0
"sadness","neutral",-2
